Timestamp,Model,Request tokens,Response tokens,Total tokens,Log Type
5,ChatGPT,472,18,490,Conversation log
45,ChatGPT,1087,230,1317,Conversation log
118,GPT-4,417,276,693,Conversation log
185,ChatGPT,1360,647,2007,Conversation log
214,ChatGPT,185,215,400,Conversation log
233,GPT-4,586,293,879,Conversation log
261,ChatGPT,37,1656,1693,Conversation log
267,ChatGPT,54,503,557,Conversation log
410,ChatGPT,1528,414,1942,Conversation log
535,ChatGPT,89,370,459,Conversation log
560,GPT-4,549,362,911,Conversation log
638,ChatGPT,172,69,241,Conversation log
686,GPT-4,969,206,1175,Conversation log
741,ChatGPT,97,137,234,Conversation log
771,GPT-4,1574,501,2075,Conversation log
821,ChatGPT,253,239,492,Conversation log
966,ChatGPT,23,344,367,Conversation log
974,ChatGPT,509,207,716,Conversation log
1028,ChatGPT,387,349,736,Conversation log
1072,ChatGPT,733,180,913,Conversation log
1129,ChatGPT,1305,477,1782,Conversation log
1278,ChatGPT,17,382,399,Conversation log
1449,ChatGPT,601,557,1158,Conversation log
1611,GPT-4,1327,239,1566,Conversation log
1780,ChatGPT,1437,181,1618,Conversation log
2069,ChatGPT,1336,245,1581,Conversation log
2173,ChatGPT,19,440,459,Conversation log
2273,GPT-4,92,95,187,Conversation log
2293,ChatGPT,507,448,955,Conversation log
2579,ChatGPT,938,263,1201,Conversation log
